Ticker,Weight,Investment($),Price,Shares,CurrentValue($)
TXN,0.09541910135510218,954.1910135510218,169.1300048828125,5.641760692977959,954.1910135510219
GILD,0.10369860093129331,1036.986009312933,120.94000244140625,8.57438389597634,1036.986009312933
KLAC,0.12479142952114229,1247.914295211423,1182.8199462890625,1.0550331849970787,1247.9142952114232
VRSK,0.08935216489168402,893.5216489168401,234.94000244140625,3.803190770544422,893.5216489168401
PYPL,0.08554006336298768,855.4006336298768,69.7699966430664,12.260293461184862,855.4006336298768
WBD,0.11011133686454863,1101.1133686454864,21.149999618530273,52.06209874730974,1101.1133686454864
CSX,0.1326053481044674,1326.0534810446738,36.130001068115234,36.702281811303834,1326.0534810446738
NXPI,0.04592331398803222,459.2331398803222,219.16000366210938,2.0954240381759908,459.23313988032214
CSCO,0.11745987539730401,1174.5987539730402,70.62999725341797,16.630310061582204,1174.5987539730402
ADP,0.05243195537012454,524.3195537012454,280.94000244140625,1.8663043679961493,524.3195537012454
DASH,0.03550573287673264,355.05732876732645,258.1499938964844,1.3753915830410632,355.05732876732645
TMUS,0.007145141880274161,71.4514188027416,217.77000427246094,0.32810496120184585,71.4514188027416
META,1.5935456306911204e-05,0.15935456306911203,738.3599853515625,0.00021582231733920006,0.15935456306911203
